NO    : OWNER      SIZE         NAME
71    : dadi       1066         /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib64/python3.12/site-packages/eval_type_backport-0.2.2.dist-info/LICENSE.txt
72    : dadi       19           /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib64/python3.12/site-packages/eval_type_backport-0.2.2.dist-info/top_level.txt
73    : dadi       11           /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib64/python3.12/site-packages/frozenlist-1.5.0.dist-info/top_level.txt
74    : dadi       8            /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib64/python3.12/site-packages/certifi-2025.1.31.dist-info/top_level.txt
75    : dadi       57           /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib64/python3.12/site-packages/typer-0.15.2.dist-info/entry_points.txt
76    : dadi       967          /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib64/python3.12/site-packages/numpy/_core/tests/data/umath-validation-set-README.txt
77    : dadi       1018         /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib64/python3.12/site-packages/numpy/_core/include/numpy/random/LICENSE.txt
78    : dadi       3405         /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib64/python3.12/site-packages/numpy/ma/API_CHANGES.txt
79    : dadi       588          /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib64/python3.12/site-packages/aiohttp-3.11.14.dist-info/LICENSE.txt
80    : dadi       8            /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib64/python3.12/site-packages/aiohttp-3.11.14.dist-info/top_level.txt
81    : dadi       1093         /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib64/python3.12/site-packages/pip-24.0.dist-info/LICENSE.txt
82    : dadi       10388        /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib64/python3.12/site-packages/pip-24.0.dist-info/AUTHORS.txt
83    : dadi       4            /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib64/python3.12/site-packages/pip-24.0.dist-info/top_level.txt
84    : dadi       125          /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib64/python3.12/site-packages/pip-24.0.dist-info/entry_points.txt
85    : dadi       12           /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib64/python3.12/site-packages/shellingham-1.5.4.dist-info/top_level.txt
86    : dadi       110423       /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib64/python3.12/site-packages/pyarrow-19.0.1.dist-info/LICENSE.txt
87    : dadi       3032         /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib64/python3.12/site-packages/pyarrow-19.0.1.dist-info/NOTICE.txt
88    : dadi       18           /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib64/python3.12/site-packages/pyarrow-19.0.1.dist-info/top_level.txt
89    : dadi       50           /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib64/python3.12/site-packages/together-1.5.2.dist-info/entry_points.txt
90    : dadi       10           /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib64/python3.12/site-packages/propcache-0.3.1.dist-info/top_level.txt
91    : dadi       10           /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib64/python3.12/site-packages/multidict-6.2.0.dist-info/top_level.txt
92    : dadi       855          /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib64/python3.12/site-packages/pyarrow/src/arrow/python/CMakeLists.txt
93    : dadi       837          /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib64/python3.12/site-packages/pyarrow/src/arrow/python/vendored/CMakeLists.txt
94    : dadi       493          /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib64/python3.12/site-packages/pip/_vendor/vendor.txt
95    : dadi       5            /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib64/python3.12/site-packages/tqdm-4.67.1.dist-info/top_level.txt
96    : dadi       39           /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib64/python3.12/site-packages/tqdm-4.67.1.dist-info/entry_points.txt
97    : dadi       50           /home/dadi/Desktop/Labs_6th sem/Networks_Lab/sample.txt
98    : dadi       879          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_6/exp.txt
99    : dadi       6120         /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_6/data/transcript2_waiter.txt
100   : dadi       534          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_6/data/customers.txt
101   : dadi       6765         /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_6/data/transcript1_cook.txt
102   : dadi       23482        /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_6/data/transcript_all.txt
103   : dadi       10597        /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_6/data/transcript3_customer.txt
104   : dadi       533          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_6/code/customers.txt
105   : dadi       533          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_6/code/temp/customers.txt
106   : dadi       400          /home/dadi/Desktop/Labs_6th sem/OS_Lab/sleeping_barber.txt
107   : dadi       1563         /home/dadi/Desktop/Labs_6th sem/OS_Lab/dining_philosopher.txt
108   : dadi       5699948      /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_10/sample/verboseoutput.txt
109   : dadi       15119        /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_10/sample/output.txt
110   : dadi       66951        /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_10/sample/search.txt
111   : dadi       5401545      /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_10/a/verboseoutput.txt
112   : dadi       0            /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_10/a/verbose_output.txt
113   : dadi       13970        /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_10/a/output.txt
114   : dadi       66951        /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_10/a/search.txt
115   : dadi       5710483      /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_10/verbose_output.txt
116   : dadi       15036        /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_10/output.txt
117   : dadi       66951        /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_10/search.txt
118   : dadi       108          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_2/childpid.txt
119   : dadi       7            /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_2/dummycpid.txt
120   : dadi       315          /home/dadi/Desktop/Labs_6th sem/OS_Lab/producer_consumer.txt
121   : dadi       2018         /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_7/question.txt
122   : dadi       519          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_7/exp.txt
123   : dadi       58           /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_7/temp.txt
124   : dadi       0            /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_7/output.txt
125   : dadi       420          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/input/thread01.txt
126   : dadi       282          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/input/thread14.txt
127   : dadi       512          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/input/thread19.txt
128   : dadi       466          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/input/thread04.txt
129   : dadi       374          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/input/thread15.txt
130   : dadi       328          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/input/thread12.txt
131   : dadi       466          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/input/thread08.txt
132   : dadi       420          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/input/thread02.txt
133   : dadi       282          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/input/thread17.txt
134   : dadi       374          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/input/thread10.txt
135   : dadi       282          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/input/thread05.txt
136   : dadi       466          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/input/thread06.txt
137   : dadi       328          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/input/thread18.txt
138   : dadi       374          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/input/thread09.txt
139   : dadi       374          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/input/thread11.txt
140   : dadi       466          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/input/thread16.txt
141   : dadi       282          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/input/thread00.txt
142   : dadi       512          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/input/thread07.txt
143   : dadi       420          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/input/thread13.txt
144   : dadi       512          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/input/thread03.txt
145   : dadi       36           /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/input/system.txt
146   : dadi       420          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/kasyap/input/thread01.txt
147   : dadi       282          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/kasyap/input/thread14.txt
148   : dadi       512          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/kasyap/input/thread19.txt
149   : dadi       466          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/kasyap/input/thread04.txt
150   : dadi       374          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/kasyap/input/thread15.txt
151   : dadi       328          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/kasyap/input/thread12.txt
152   : dadi       466          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/kasyap/input/thread08.txt
153   : dadi       420          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/kasyap/input/thread02.txt
154   : dadi       282          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/kasyap/input/thread17.txt
155   : dadi       374          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/kasyap/input/thread10.txt
156   : dadi       282          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/kasyap/input/thread05.txt
157   : dadi       466          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/kasyap/input/thread06.txt
158   : dadi       328          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/kasyap/input/thread18.txt
159   : dadi       374          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/kasyap/input/thread09.txt
160   : dadi       374          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/kasyap/input/thread11.txt
161   : dadi       466          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/kasyap/input/thread16.txt
162   : dadi       282          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/kasyap/input/thread00.txt
163   : dadi       512          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/kasyap/input/thread07.txt
164   : dadi       420          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/kasyap/input/thread13.txt
165   : dadi       512          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/kasyap/input/thread03.txt
166   : dadi       36           /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/kasyap/input/system.txt
167   : dadi       137126       /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/sample/output1_allow.txt
168   : dadi       145495       /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/sample/output2_avoid.txt
169   : dadi       374          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/sample/input2/thread01.txt
170   : dadi       466          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/sample/input2/thread14.txt
171   : dadi       512          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/sample/input2/thread19.txt
172   : dadi       374          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/sample/input2/thread04.txt
173   : dadi       374          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/sample/input2/thread15.txt
174   : dadi       374          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/sample/input2/thread12.txt
175   : dadi       466          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/sample/input2/thread08.txt
176   : dadi       328          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/sample/input2/thread02.txt
177   : dadi       420          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/sample/input2/thread17.txt
178   : dadi       374          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/sample/input2/thread10.txt
179   : dadi       282          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/sample/input2/thread05.txt
180   : dadi       328          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/sample/input2/thread06.txt
181   : dadi       282          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/sample/input2/thread18.txt
182   : dadi       466          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/sample/input2/thread09.txt
183   : dadi       328          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/sample/input2/thread11.txt
184   : dadi       466          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/sample/input2/thread16.txt
185   : dadi       420          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/sample/input2/thread00.txt
186   : dadi       420          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/sample/input2/thread07.txt
187   : dadi       466          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/sample/input2/thread13.txt
188   : dadi       374          /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/sample/input2/thread03.txt
189   : dadi       36           /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/sample/input2/system.txt
190   : dadi       100896       /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/sample/output2_allow.txt
191   : dadi       135528       /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/sample/output1_avoid.txt
192   : dadi       137463       /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_8/stages/allow.txt
193   : dadi       226          /home/dadi/Desktop/Labs_6th sem/OS_Lab/petersons_solutions/peterson.txt
194   : dadi       219          /home/dadi/Desktop/Labs_6th sem/OS_Lab/safety_algorithm.txt
195   : dadi       216151       /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_9/verbose_output.txt
196   : dadi       9137         /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_9/output.txt
